vm_id,decision_timestamp,current_cpu,predicted_cpu_t5m,predicted_cpu_t10m,predicted_cpu_t15m,predicted_cpu_t30m,predicted_cpu_t45m,predicted_cpu_t60m,predicted_mean_cpu,predicted_peak_cpu,predicted_std_cpu,volatility_score,risk_score,risk_state
VM_001,1378613100,0.7333,0.6701,0.5762,0.6105,0.6351,0.664,0.6745,0.6507,0.7403,0.0493,0.059,0.027,LOW
VM_001,1378613400,0.6667,0.6534,0.5766,0.61,0.6403,0.6583,0.6692,0.6487,0.7385,0.046,0.0573,0.0265,LOW
VM_001,1378613700,0.65,0.6433,0.5622,0.5945,0.6248,0.6443,0.6497,0.6337,0.72,0.0457,0.0481,0.0248,LOW
VM_001,1378614000,0.6167,0.6501,0.5689,0.6088,0.6377,0.6529,0.6649,0.6453,0.7334,0.0456,0.0482,0.0256,LOW
VM_001,1378614300,0.65,0.7338,0.682,0.7072,0.7397,0.7165,0.6772,0.7195,0.763,0.0263,0.046,0.0161,LOW
VM_001,1378614600,0.6833,0.6953,0.7009,0.7515,0.7427,0.7149,0.7722,0.7415,0.8357,0.0396,0.0461,0.0225,LOW
VM_001,1378614900,0.6333,0.6788,0.631,0.6616,0.674,0.6864,0.707,0.6854,0.7805,0.04,0.0411,0.023,LOW
VM_001,1378615200,0.65,0.7019,0.6803,0.7335,0.7219,0.724,0.787,0.7366,0.8516,0.047,0.0409,0.0255,LOW
VM_001,1378615500,0.6833,0.6843,0.6563,0.7097,0.7185,0.7082,0.742,0.7178,0.8142,0.0407,0.0413,0.024,LOW
VM_001,1378615800,0.6333,0.681,0.6568,0.7263,0.756,0.7405,0.7634,0.7419,0.8351,0.0461,0.0408,0.0263,LOW
VM_001,1378616100,0.6833,0.6212,0.5578,0.6284,0.6651,0.6632,0.6644,0.6564,0.7401,0.0468,0.0401,0.0267,LOW
VM_001,1378616400,0.7167,0.6457,0.6059,0.6833,0.7327,0.706,0.6912,0.704,0.771,0.0453,0.042,0.0249,LOW
VM_001,1378616700,0.5667,0.6492,0.5994,0.6772,0.7052,0.6823,0.6972,0.6899,0.7683,0.0415,0.0439,0.0256,LOW
VM_001,1378617000,0.6,0.665,0.6377,0.7009,0.7362,0.7137,0.7052,0.7155,0.7831,0.0378,0.0439,0.0228,LOW
VM_001,1378617300,0.6167,0.6321,0.5776,0.6414,0.6734,0.6706,0.6819,0.6676,0.7535,0.0435,0.0442,0.0265,LOW
VM_001,1378617600,0.5833,0.6457,0.5935,0.6577,0.6967,0.7042,0.7104,0.6919,0.7804,0.0482,0.0457,0.028,LOW
VM_001,1378617900,0.6333,0.6464,0.585,0.6526,0.6882,0.6895,0.7054,0.6829,0.7753,0.0468,0.0458,0.0284,LOW
VM_001,1378618200,0.7,0.6535,0.6081,0.6697,0.7104,0.7051,0.6953,0.6984,0.7783,0.0429,0.0469,0.0261,LOW
VM_001,1378618500,0.65,0.65,0.5517,0.6075,0.6439,0.6496,0.6376,0.6417,0.7189,0.0408,0.0459,0.0257,LOW
VM_001,1378618800,0.5667,0.6185,0.556,0.6341,0.6847,0.6693,0.6635,0.664,0.7426,0.0469,0.0486,0.0283,LOW
VM_001,1378619100,0.65,0.6544,0.6119,0.6954,0.7146,0.7082,0.7603,0.714,0.826,0.053,0.0458,0.0312,MEDIUM
VM_001,1378619400,0.5333,0.6646,0.6268,0.6953,0.7093,0.7124,0.7621,0.7178,0.8281,0.0497,0.0505,0.0303,MEDIUM
VM_001,1378619700,0.6833,0.6467,0.5715,0.6367,0.667,0.6752,0.6803,0.6675,0.7567,0.0444,0.0511,0.0285,LOW
VM_001,1378620000,0.6667,0.6619,0.6062,0.6779,0.7141,0.7022,0.7096,0.7016,0.7821,0.0424,0.0491,0.0271,LOW
VM_001,1378620300,0.6833,0.6667,0.6095,0.6786,0.7227,0.7051,0.7044,0.7039,0.7808,0.0414,0.0461,0.0262,LOW
VM_001,1378620600,0.5833,0.683,0.6104,0.67,0.7112,0.7092,0.7379,0.7064,0.7933,0.0441,0.0473,0.0277,LOW
VM_001,1378620900,0.6167,0.6747,0.5836,0.6441,0.6775,0.6876,0.7023,0.6812,0.7733,0.0456,0.0474,0.0285,LOW
VM_001,1378621200,0.6167,0.6883,0.5958,0.6536,0.6835,0.6867,0.7152,0.6876,0.779,0.0435,0.0474,0.0277,LOW
VM_001,1378621500,0.6667,0.6744,0.6122,0.6619,0.7241,0.7124,0.7045,0.7044,0.7853,0.0429,0.0477,0.0266,LOW
VM_001,1378621800,0.6333,0.6785,0.6085,0.6709,0.7093,0.6972,0.7248,0.7004,0.7894,0.0428,0.0467,0.0274,LOW
VM_001,1378622100,0.5833,0.6421,0.572,0.6395,0.6946,0.673,0.664,0.6694,0.7422,0.0409,0.0479,0.0263,LOW
VM_001,1378622400,0.5833,0.6489,0.5624,0.6237,0.6747,0.6638,0.6653,0.6581,0.7319,0.04,0.0488,0.0263,LOW
VM_001,1378622700,0.7167,0.6479,0.5794,0.6464,0.6932,0.6729,0.6606,0.6721,0.7419,0.0387,0.0508,0.0257,LOW
VM_001,1378623000,0.65,0.6591,0.5871,0.6595,0.7036,0.6822,0.6793,0.685,0.7596,0.0402,0.051,0.0269,LOW
VM_001,1378623300,0.7,0.6359,0.5612,0.6328,0.6707,0.6582,0.6514,0.6572,0.727,0.0385,0.0518,0.0262,LOW
VM_001,1378623600,0.7167,0.6516,0.5787,0.6464,0.6902,0.6651,0.6474,0.6685,0.7298,0.0365,0.0518,0.0245,LOW
VM_001,1378623900,0.6333,0.6448,0.5764,0.6357,0.686,0.6639,0.6418,0.6641,0.726,0.0368,0.0498,0.0241,LOW
VM_001,1378624200,0.6,0.6589,0.5951,0.66,0.7055,0.6758,0.6572,0.6816,0.7439,0.0368,0.0498,0.024,LOW
VM_001,1378624500,0.6667,0.6509,0.5798,0.6483,0.692,0.6604,0.6474,0.6685,0.7289,0.0362,0.05,0.024,LOW
VM_001,1378624800,0.5833,0.6643,0.6008,0.6698,0.7104,0.6673,0.6583,0.6833,0.7421,0.0358,0.05,0.0231,LOW
VM_001,1378625100,0.65,0.6567,0.5964,0.6608,0.7041,0.6644,0.6541,0.6779,0.7371,0.0355,0.05,0.0231,LOW
VM_001,1378625400,0.7167,0.6769,0.6157,0.6818,0.7217,0.6757,0.6709,0.6945,0.7547,0.0359,0.051,0.023,LOW
VM_001,1378625700,0.6833,0.6511,0.587,0.6551,0.698,0.6573,0.6438,0.6708,0.7268,0.0357,0.0518,0.0232,LOW
VM_001,1378626000,0.5833,0.6502,0.5862,0.6569,0.6977,0.6531,0.6484,0.6701,0.7285,0.0362,0.0508,0.0233,LOW
VM_001,1378626300,0.5833,0.6433,0.5808,0.6438,0.6905,0.6473,0.634,0.6623,0.7189,0.0357,0.0522,0.023,LOW
VM_001,1378626600,0.5833,0.6467,0.5858,0.6535,0.6944,0.6485,0.6424,0.6674,0.7252,0.0363,0.0486,0.0227,LOW
VM_001,1378626900,0.65,0.616,0.5936,0.686,0.7079,0.6649,0.7077,0.6894,0.7829,0.0494,0.0479,0.0285,LOW
VM_001,1378627200,0.7333,0.6451,0.5934,0.6687,0.7014,0.6429,0.6425,0.6709,0.7306,0.0372,0.0513,0.0228,LOW
VM_001,1378627500,0.7167,0.6606,0.6026,0.669,0.7044,0.6487,0.6338,0.6735,0.732,0.0347,0.0529,0.0221,LOW
VM_001,1378627800,0.6,0.654,0.5911,0.6648,0.7001,0.6358,0.6319,0.6672,0.7277,0.0366,0.0522,0.0228,LOW
VM_001,1378628100,0.6333,0.6433,0.5863,0.6561,0.7004,0.649,0.641,0.6687,0.725,0.0365,0.0519,0.0231,LOW
VM_001,1378628400,0.6833,0.6441,0.5866,0.6619,0.6936,0.6272,0.6247,0.6602,0.7221,0.0367,0.0521,0.0227,LOW
VM_001,1378628700,0.5833,0.6318,0.5781,0.6432,0.6817,0.6265,0.626,0.6523,0.7105,0.0352,0.0535,0.0225,LOW
VM_001,1378629000,0.6333,0.6457,0.59,0.6602,0.6902,0.6153,0.6189,0.6558,0.721,0.0369,0.0535,0.0224,LOW
VM_001,1378629300,0.6,0.6265,0.5801,0.6534,0.686,0.6227,0.6313,0.6548,0.7159,0.0368,0.0528,0.0228,LOW
VM_001,1378629600,0.5833,0.6375,0.586,0.6604,0.6932,0.6139,0.6251,0.6557,0.7215,0.0381,0.0528,0.0228,LOW
VM_001,1378629900,0.6333,0.6346,0.5855,0.6602,0.6944,0.6178,0.6303,0.6583,0.7265,0.0389,0.0506,0.0232,LOW
VM_001,1378630200,0.6667,0.6415,0.5911,0.6688,0.7005,0.6125,0.6276,0.6607,0.7338,0.0408,0.0508,0.0234,LOW
VM_001,1378630500,0.7,0.637,0.5842,0.662,0.6959,0.6187,0.6317,0.6593,0.7276,0.039,0.0508,0.0235,LOW
VM_001,1378630800,0.7,0.6357,0.5836,0.6625,0.6941,0.6128,0.6259,0.6563,0.7258,0.0394,0.0499,0.0232,LOW
VM_001,1378631100,0.7,0.6787,0.638,0.7434,0.7426,0.6578,0.7639,0.7256,0.8176,0.0562,0.0512,0.0278,LOW
VM_001,1378631400,0.6333,0.6594,0.614,0.7122,0.7095,0.632,0.6964,0.6909,0.763,0.0465,0.0504,0.0241,LOW
VM_001,1378631700,0.65,0.6607,0.6008,0.6867,0.694,0.627,0.6981,0.6788,0.7521,0.043,0.0502,0.0243,LOW
VM_001,1378632000,0.7167,0.6569,0.5972,0.6709,0.695,0.6175,0.6525,0.6663,0.7316,0.0375,0.0505,0.0224,LOW
VM_001,1378632300,0.7167,0.6552,0.6021,0.6842,0.7127,0.6297,0.667,0.6789,0.7475,0.04,0.0522,0.0239,LOW
VM_001,1378632600,0.7,0.6392,0.5914,0.677,0.7071,0.6082,0.6365,0.6636,0.7407,0.043,0.0515,0.0243,LOW
VM_001,1378632900,0.65,0.6326,0.5861,0.6579,0.6877,0.6168,0.6545,0.6584,0.7212,0.037,0.0511,0.0225,LOW
VM_001,1378633200,0.5,0.6147,0.578,0.6619,0.692,0.5996,0.6358,0.6513,0.7265,0.0427,0.0582,0.025,LOW
VM_001,1378633500,0.5833,0.6432,0.5942,0.6757,0.716,0.6234,0.6781,0.6755,0.7464,0.0426,0.0582,0.0255,LOW
VM_001,1378633800,0.7167,0.6375,0.5961,0.683,0.7095,0.6112,0.6635,0.67,0.7474,0.0445,0.0581,0.0254,LOW
VM_001,1378634100,0.65,0.6205,0.5973,0.6874,0.6932,0.6136,0.7029,0.673,0.7549,0.0509,0.0581,0.0261,LOW
VM_001,1378634400,0.7167,0.6327,0.594,0.6763,0.6957,0.6076,0.6607,0.663,0.7353,0.0421,0.0572,0.0241,LOW
VM_001,1378634700,0.7,0.6413,0.5934,0.6754,0.7098,0.6163,0.6675,0.6697,0.7426,0.0419,0.0565,0.0249,LOW
VM_001,1378635000,0.6167,0.6389,0.5968,0.6872,0.7218,0.6122,0.6726,0.6738,0.7553,0.047,0.056,0.0259,LOW
VM_001,1378635300,0.6333,0.6238,0.585,0.6729,0.7113,0.6094,0.6707,0.6655,0.7419,0.0455,0.056,0.0257,LOW
VM_001,1378635600,0.6667,0.6279,0.5861,0.6761,0.705,0.6003,0.6692,0.6616,0.7374,0.0458,0.0557,0.025,LOW
VM_001,1378635900,0.7333,0.6648,0.6158,0.7031,0.7328,0.6291,0.7113,0.6929,0.7629,0.045,0.056,0.0246,LOW
VM_001,1378636200,0.6667,0.6376,0.5942,0.6807,0.7062,0.5988,0.6738,0.6646,0.7383,0.045,0.0558,0.0242,LOW
VM_001,1378636500,0.6333,0.6425,0.6033,0.6871,0.7146,0.6088,0.686,0.6733,0.7475,0.045,0.0547,0.0241,LOW
VM_001,1378636800,0.5667,0.627,0.5886,0.6736,0.6829,0.5802,0.6659,0.6514,0.7216,0.045,0.0558,0.0239,LOW
VM_001,1378637100,0.5667,0.6317,0.5961,0.6818,0.6959,0.5886,0.6862,0.6621,0.7358,0.0475,0.0588,0.025,LOW
VM_001,1378637400,0.65,0.6262,0.5882,0.6736,0.6803,0.5726,0.6672,0.6488,0.7177,0.046,0.0588,0.0247,LOW
VM_001,1378637700,0.6667,0.6171,0.5877,0.6751,0.6794,0.5739,0.6747,0.6489,0.7189,0.0475,0.0581,0.0246,LOW
VM_001,1378638000,0.6667,0.6143,0.5814,0.6683,0.6698,0.5601,0.6558,0.6386,0.705,0.0461,0.0574,0.0245,LOW
VM_001,1378638300,0.6167,0.6557,0.6138,0.7028,0.7067,0.5994,0.7098,0.6773,0.7411,0.0472,0.057,0.0241,LOW
VM_001,1378638600,0.6167,0.6271,0.5945,0.6833,0.6816,0.57,0.676,0.6518,0.7178,0.048,0.0573,0.0248,LOW
VM_001,1378638900,0.5833,0.6259,0.5921,0.6804,0.677,0.5714,0.6832,0.6515,0.7151,0.0473,0.0589,0.0245,LOW
VM_001,1378639200,0.7,0.621,0.5856,0.6721,0.6679,0.5539,0.6619,0.6389,0.6987,0.0465,0.0581,0.0246,LOW
VM_001,1378639500,0.7,0.6399,0.6028,0.6879,0.685,0.5703,0.6856,0.6565,0.7178,0.0476,0.0574,0.0248,LOW
VM_001,1378639800,0.6667,0.6307,0.6303,0.7259,0.686,0.5525,0.7284,0.6672,0.758,0.0714,0.0564,0.0315,MEDIUM
VM_001,1378640100,0.6833,0.6421,0.6339,0.7197,0.6883,0.5594,0.7085,0.6659,0.7408,0.0621,0.0569,0.0288,LOW
VM_001,1378640400,0.6667,0.6414,0.6093,0.6871,0.6807,0.5457,0.6664,0.6453,0.7118,0.051,0.0478,0.0258,LOW
VM_001,1378640700,0.5833,0.6576,0.6133,0.691,0.681,0.5565,0.689,0.654,0.7131,0.0503,0.0478,0.0247,LOW
VM_001,1378641000,0.7,0.6411,0.6061,0.6836,0.6715,0.5451,0.6832,0.6448,0.7037,0.0506,0.047,0.0248,LOW
VM_001,1378641300,0.7,0.638,0.6109,0.6901,0.6633,0.5421,0.6813,0.6431,0.7044,0.0527,0.048,0.0254,LOW
VM_001,1378641600,0.7333,0.626,0.5918,0.6701,0.6452,0.5256,0.6644,0.6256,0.6859,0.0494,0.049,0.0252,LOW
VM_001,1378641900,0.6,0.6391,0.608,0.6869,0.662,0.5359,0.6824,0.6399,0.7012,0.0533,0.0493,0.0259,LOW
VM_001,1378642200,0.5667,0.6321,0.6224,0.7017,0.6796,0.5267,0.6878,0.645,0.7159,0.0623,0.0518,0.029,LOW
VM_001,1378642500,0.65,0.6454,0.6253,0.7035,0.6723,0.5361,0.695,0.649,0.7121,0.0583,0.0517,0.0274,LOW
VM_001,1378642800,0.6667,0.6279,0.6001,0.6806,0.6531,0.5151,0.6729,0.6281,0.6902,0.056,0.0517,0.0273,LOW
VM_001,1378643100,0.7167,0.6439,0.6104,0.6889,0.6606,0.5193,0.6807,0.6356,0.6946,0.0568,0.0506,0.0272,LOW
VM_001,1378643400,0.6167,0.6292,0.6137,0.6924,0.6599,0.5067,0.675,0.6305,0.697,0.0621,0.0508,0.029,LOW
VM_001,1378643700,0.5667,0.6419,0.6189,0.6925,0.6565,0.508,0.6828,0.6322,0.6955,0.0623,0.0533,0.029,LOW
VM_001,1378644000,0.6,0.6234,0.6076,0.6838,0.6443,0.4957,0.676,0.6213,0.69,0.0634,0.0517,0.0296,MEDIUM
VM_001,1378644300,1.15,1.0479,0.9073,0.985,0.6202,0.5741,0.702,0.7453,1.0479,0.1603,0.1134,0.0728,MEDIUM
VM_001,1378644600,0.75,0.6858,0.6833,0.7871,0.7191,0.5698,0.814,0.707,0.8342,0.0922,0.1145,0.0473,MEDIUM
VM_001,1378644900,0.7667,0.7534,0.6654,0.7292,0.6982,0.6003,0.7477,0.6848,0.7534,0.0535,0.1161,0.033,MEDIUM
VM_001,1378645200,0.6333,0.6647,0.6317,0.692,0.6786,0.5292,0.7216,0.6484,0.7331,0.0651,0.1164,0.039,MEDIUM
VM_001,1378645500,0.6167,0.7221,0.7065,0.7374,0.7235,0.6164,0.7862,0.7078,0.7862,0.0458,0.1164,0.035,MEDIUM
VM_001,1378645800,0.5833,0.6557,0.6355,0.6925,0.6588,0.5258,0.7294,0.6471,0.7294,0.0594,0.1173,0.0391,MEDIUM
VM_001,1378646100,0.55,0.6931,0.6504,0.7002,0.6922,0.5294,0.7101,0.6587,0.7101,0.056,0.1187,0.0366,MEDIUM
VM_001,1378646400,0.6167,0.643,0.6187,0.6807,0.6312,0.4928,0.6914,0.6207,0.6914,0.0613,0.1191,0.0388,MEDIUM
VM_001,1378646700,0.6667,0.6709,0.6731,0.7121,0.6869,0.5889,0.7854,0.6868,0.7854,0.0537,0.1189,0.0385,MEDIUM
VM_001,1378647000,0.6333,0.6464,0.6433,0.696,0.6544,0.5249,0.7321,0.6449,0.7321,0.0633,0.1191,0.0398,MEDIUM
VM_001,1378647300,0.5333,0.6451,0.6406,0.6916,0.6453,0.5169,0.7191,0.6382,0.7191,0.0619,0.1221,0.0396,MEDIUM
VM_001,1378647600,0.6,0.6359,0.6161,0.6699,0.6299,0.4944,0.696,0.6181,0.6978,0.0621,0.1228,0.0398,MEDIUM
VM_001,1378647900,0.6,0.6563,0.6498,0.6935,0.6724,0.5484,0.736,0.6575,0.736,0.0542,0.1224,0.0379,MEDIUM
VM_001,1378648200,0.65,0.6505,0.6277,0.6834,0.6413,0.5054,0.7013,0.6287,0.7044,0.0604,0.1221,0.0392,MEDIUM
VM_001,1378648500,0.7167,0.6536,0.6319,0.6898,0.6375,0.5064,0.7017,0.6299,0.7056,0.0605,0.1224,0.0393,MEDIUM
VM_001,1378648800,0.7167,0.6359,0.6114,0.6726,0.6186,0.4957,0.687,0.6138,0.6914,0.0583,0.122,0.0388,MEDIUM
VM_001,1378649100,0.5667,0.6706,0.6504,0.6906,0.6541,0.5471,0.7376,0.6526,0.7376,0.0544,0.1228,0.0383,MEDIUM
VM_001,1378649400,0.6333,0.6384,0.6163,0.6735,0.6241,0.506,0.6977,0.6199,0.6996,0.0577,0.1215,0.0385,MEDIUM
VM_001,1378649700,0.6333,0.6933,0.6822,0.7235,0.6531,0.5574,0.7704,0.671,0.7781,0.0673,0.1216,0.0417,MEDIUM
VM_001,1378650000,0.5833,0.6343,0.6149,0.6713,0.6152,0.5012,0.707,0.6167,0.707,0.0614,0.1225,0.0401,MEDIUM
VM_001,1378650300,0.7167,0.688,0.6818,0.7228,0.687,0.5554,0.756,0.6712,0.756,0.0621,0.1225,0.0394,MEDIUM
VM_001,1378650600,0.6429,0.6514,0.6372,0.6921,0.6404,0.5148,0.7261,0.6344,0.7261,0.0643,0.1223,0.0407,MEDIUM
VM_001,1378650900,0.5667,0.6386,0.6341,0.6916,0.6417,0.528,0.7353,0.6393,0.7353,0.0612,0.1223,0.0402,MEDIUM
VM_001,1378651200,0.6667,0.6299,0.6082,0.6663,0.6157,0.5118,0.7103,0.6173,0.7103,0.0581,0.1217,0.0391,MEDIUM
VM_001,1378651500,0.7167,0.6682,0.6577,0.7017,0.6506,0.5517,0.751,0.6552,0.751,0.0597,0.064,0.0318,MEDIUM
VM_001,1378651800,0.7167,0.6522,0.6399,0.6869,0.6421,0.5344,0.7167,0.6391,0.7277,0.0571,0.0619,0.0308,MEDIUM
VM_001,1378652100,0.6071,0.6404,0.6198,0.6721,0.63,0.5396,0.7282,0.6338,0.7282,0.055,0.0558,0.0295,LOW
VM_001,1378652400,0.7167,0.6339,0.6151,0.6697,0.6347,0.5325,0.7125,0.6295,0.7201,0.0537,0.0584,0.0297,MEDIUM
VM_001,1378652700,0.6667,0.6778,0.6734,0.7048,0.6885,0.5782,0.7394,0.6737,0.7626,0.0531,0.0586,0.0293,LOW
VM_001,1378653000,0.6,0.6657,0.6507,0.6906,0.6688,0.566,0.7323,0.6602,0.7537,0.0528,0.058,0.0296,MEDIUM
VM_001,1378653300,0.6964,0.6691,0.6494,0.6911,0.661,0.5696,0.7375,0.6601,0.7543,0.0522,0.056,0.029,LOW
VM_001,1378653600,0.5333,0.653,0.6269,0.6723,0.6491,0.5637,0.7314,0.6485,0.747,0.0522,0.0602,0.0294,LOW
VM_001,1378653900,0.5893,0.7135,0.6995,0.7222,0.6893,0.6079,0.7797,0.6983,0.8041,0.0562,0.0608,0.031,MEDIUM
VM_001,1378654200,0.6,0.6986,0.677,0.6995,0.6869,0.6019,0.742,0.6832,0.7728,0.0466,0.0613,0.0281,LOW
VM_001,1378654500,0.5333,0.6723,0.6619,0.6955,0.6596,0.5725,0.7427,0.665,0.761,0.0529,0.0613,0.0302,MEDIUM
VM_001,1378654800,0.5667,0.6585,0.6401,0.678,0.6571,0.5731,0.7325,0.657,0.7545,0.0501,0.0625,0.0295,LOW
VM_001,1378655100,0.5714,0.6812,0.6791,0.7045,0.6881,0.5981,0.7403,0.6809,0.7748,0.0489,0.0635,0.0291,LOW
VM_001,1378655400,0.6333,0.6708,0.6533,0.6905,0.6752,0.5963,0.7341,0.6716,0.7659,0.0462,0.0634,0.0282,LOW
VM_001,1378655700,0.5833,0.6576,0.6474,0.6844,0.6594,0.5766,0.7214,0.6586,0.7534,0.0477,0.0616,0.0288,LOW
VM_001,1378656000,0.6667,0.657,0.6348,0.6784,0.6512,0.5812,0.7227,0.6554,0.7495,0.0463,0.0592,0.0275,LOW
VM_001,1378656300,0.5167,0.6656,0.6531,0.6897,0.6603,0.5837,0.7225,0.6638,0.7575,0.0465,0.0622,0.0285,LOW
VM_001,1378656600,0.5833,0.6464,0.6269,0.6728,0.6444,0.5807,0.7207,0.6514,0.7474,0.0463,0.0627,0.0278,LOW
VM_001,1378656900,0.7,0.6385,0.6225,0.6674,0.624,0.5629,0.7126,0.6384,0.7335,0.0478,0.0647,0.0285,LOW
VM_001,1378657200,0.6833,0.6229,0.6058,0.6566,0.6174,0.5614,0.7033,0.6304,0.725,0.0464,0.0652,0.0277,LOW
VM_001,1378657500,0.6786,0.6634,0.6597,0.6961,0.6666,0.6041,0.7278,0.6724,0.7656,0.0436,0.0633,0.0272,LOW
VM_001,1378657800,0.65,0.6459,0.6302,0.6779,0.6456,0.5966,0.7243,0.6572,0.7534,0.045,0.0634,0.0267,LOW
VM_001,1378658100,0.55,0.6159,0.6064,0.658,0.6177,0.5671,0.7052,0.6322,0.7277,0.0461,0.0642,0.0272,LOW
VM_001,1378658400,0.5667,0.6108,0.5926,0.647,0.6115,0.573,0.7084,0.6291,0.7288,0.048,0.0647,0.0267,LOW
VM_001,1378658700,0.65,0.6571,0.6336,0.6691,0.6182,0.5856,0.7262,0.6482,0.7447,0.048,0.0618,0.0267,LOW
VM_001,1378659000,0.6667,0.7387,0.7325,0.7451,0.7503,0.6969,0.7255,0.7374,0.7858,0.0229,0.0592,0.0181,LOW
VM_001,1378659300,0.7,0.6443,0.6405,0.6682,0.6248,0.5869,0.7011,0.6463,0.7191,0.0374,0.0615,0.0235,LOW
VM_001,1378659600,0.6167,0.6111,0.6363,0.6744,0.623,0.5763,0.6896,0.6391,0.7133,0.0378,0.058,0.0236,LOW
VM_001,1378659900,0.65,0.5991,0.6153,0.6554,0.6067,0.5729,0.7025,0.6312,0.7196,0.0432,0.0575,0.0247,LOW
VM_001,1378660200,0.6167,0.5961,0.6175,0.6619,0.611,0.579,0.6941,0.634,0.7197,0.0407,0.0574,0.024,LOW
