epoch,timestamp,vm_count,workload_variation,prediction_risk,adaptive_signal,adaptive_mode,exploration_probability,standard_fitness,adaptive_fitness,standard_time_ms,adaptive_time_ms,standard_feasible,adaptive_feasible,standard_placement,adaptive_placement
12,1378607400,5,0.422710,0.270740,0.361922,EXPLORATION,0.417153,0.0158536712,0.0158536712,8.9190,6.2091,true,true,"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]"
13,1378607700,5,0.096634,0.107260,0.100885,BALANCED,0.260531,0.0169331433,0.0169331433,5.3665,5.8228,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
14,1378608000,5,0.096703,0.099400,0.097782,EXPLOITATION,0.258669,0.0169626052,0.0169626052,11.8279,9.9612,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
15,1378608300,5,0.096669,0.102640,0.099057,EXPLOITATION,0.259434,0.0169634283,0.0169634283,7.5368,8.5941,true,true,"[17, 17, 17, 17, 17]","[19, 19, 19, 19, 19]"
16,1378608600,5,0.096664,0.101180,0.098471,EXPLOITATION,0.259082,0.0169551051,0.0169551051,13.4764,4.8351,true,true,"[16, 16, 16, 16, 16]","[17, 17, 17, 17, 17]"
17,1378608900,5,0.096438,0.100520,0.098071,EXPLOITATION,0.258842,0.0169813142,0.0169813142,11.0646,3.9301,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
18,1378609200,5,0.096344,0.103340,0.099142,EXPLOITATION,0.259485,0.0169703491,0.0169703491,3.4451,4.1795,true,true,"[18, 18, 18, 18, 18]","[16, 16, 16, 16, 16]"
19,1378609500,5,0.096391,0.085820,0.092162,EXPLOITATION,0.255297,0.0169857963,0.0169857963,5.1563,2.5558,true,true,"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]"
20,1378609800,5,0.096566,0.088540,0.093356,EXPLOITATION,0.256013,0.0169831438,0.0169831438,3.7754,2.6902,true,true,"[19, 19, 19, 19, 19]","[18, 18, 18, 18, 18]"
21,1378610100,5,0.096322,0.081780,0.090505,EXPLOITATION,0.254303,0.0169607759,0.0169607759,3.3466,7.0992,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
22,1378610400,5,0.096344,0.080340,0.089942,EXPLOITATION,0.253965,0.0169551051,0.0169551051,3.5481,2.6253,true,true,"[17, 17, 17, 17, 17]","[17, 17, 17, 17, 17]"
23,1378610700,5,0.096288,0.084840,0.091709,EXPLOITATION,0.255025,0.0169668839,0.0169668839,3.8584,3.3552,true,true,"[16, 16, 16, 16, 16]","[16, 16, 16, 16, 16]"
24,1378611000,5,0.096275,0.087460,0.092749,EXPLOITATION,0.255649,0.0169703491,0.0169703491,4.0340,3.1213,true,true,"[18, 18, 18, 18, 18]","[17, 17, 17, 17, 17]"
25,1378611300,5,0.096254,0.083920,0.091320,EXPLOITATION,0.254792,0.0169506236,0.0169506236,3.4821,3.2220,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
26,1378611600,5,0.096258,0.085960,0.092139,EXPLOITATION,0.255283,0.0169725851,0.0169725851,3.3629,5.6287,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
27,1378611900,5,0.096219,0.086820,0.092460,EXPLOITATION,0.255476,0.0169400641,0.0169400641,3.3128,4.1471,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
28,1378612200,5,0.094200,0.084520,0.090328,EXPLOITATION,0.254197,0.0169502166,0.0169502166,5.8206,2.3616,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
29,1378612500,5,0.093905,0.085080,0.090375,EXPLOITATION,0.254225,0.0169670869,0.0169670869,7.2270,2.9220,true,true,"[17, 17, 17, 17, 17]","[17, 17, 17, 17, 17]"
30,1378612800,5,0.093294,0.082160,0.088840,EXPLOITATION,0.253304,0.0169855932,0.0169855932,3.6819,2.3361,true,true,"[19, 19, 19, 19, 19]","[19, 19, 19, 19, 19]"
31,1378613100,5,0.092104,0.081380,0.087815,EXPLOITATION,0.252689,0.0169906542,0.0169906542,7.6352,4.0682,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
32,1378613400,5,0.092109,0.078560,0.086689,EXPLOITATION,0.252013,0.0169927171,0.0169927171,4.9509,8.8336,true,true,"[18, 18, 18, 18, 18]","[18, 18, 18, 18, 18]"
33,1378613700,7,0.140261,0.133957,0.137740,BALANCED,0.282644,0.0303413635,0.0303413635,10.6064,11.2571,true,true,"[17, 17, 14, 17, 14, 17, 17]","[16, 16, 11, 16, 11, 16, 16]"
34,1378614000,7,0.140628,0.142100,0.141217,BALANCED,0.284730,0.0304209964,0.0304422475,13.4039,8.0107,true,true,"[19, 13, 19, 19, 19, 13, 19]","[17, 17, 17, 17, 13, 17, 13]"
35,1378614300,7,0.140582,0.188157,0.159612,BALANCED,0.295767,0.0303514476,0.0303514476,12.4453,8.2088,true,true,"[18, 18, 12, 18, 12, 18, 18]","[19, 19, 13, 19, 13, 19, 19]"
36,1378614600,7,0.088528,0.154429,0.114888,BALANCED,0.268933,0.0303704821,0.0303704821,8.9954,6.9438,true,true,"[17, 17, 10, 17, 10, 17, 17]","[19, 19, 14, 19, 14, 19, 19]"
37,1378614900,7,0.090300,0.123200,0.103460,BALANCED,0.262076,0.0303706144,0.0303706144,6.3731,4.0918,true,true,"[16, 16, 13, 16, 13, 16, 16]","[19, 19, 12, 19, 12, 19, 19]"
38,1378615200,7,0.090227,0.144971,0.112125,BALANCED,0.267275,0.0303456452,0.0303496790,6.1823,3.1732,true,true,"[18, 18, 14, 18, 14, 18, 18]","[17, 17, 17, 17, 11, 17, 11]"
39,1378615500,7,0.091128,0.150829,0.115008,BALANCED,0.269005,0.0303948718,0.0303948718,11.0474,4.4155,true,true,"[18, 18, 13, 18, 13, 18, 18]","[17, 17, 13, 17, 13, 17, 17]"
40,1378615800,7,0.090945,0.160757,0.118870,BALANCED,0.271322,0.0303398241,0.0303398241,5.7733,3.2838,true,true,"[18, 18, 15, 18, 15, 18, 18]","[19, 19, 10, 19, 10, 19, 19]"
41,1378616100,7,0.090749,0.148529,0.113861,BALANCED,0.268317,0.0303592768,0.0303592768,5.6589,3.3229,true,true,"[18, 18, 11, 18, 11, 18, 18]","[17, 17, 13, 17, 13, 17, 17]"
42,1378616400,7,0.093084,0.144829,0.113782,BALANCED,0.268269,0.0303900206,0.0303900206,5.5620,3.3912,true,true,"[19, 19, 10, 19, 10, 19, 19]","[19, 19, 10, 19, 10, 19, 19]"
43,1378616700,7,0.093160,0.129129,0.107548,BALANCED,0.264529,0.0303259943,0.0303259943,7.0074,3.4154,true,true,"[19, 19, 14, 19, 14, 19, 19]","[18, 18, 14, 18, 14, 18, 18]"
44,1378617000,7,0.092904,0.137143,0.110599,BALANCED,0.266360,0.0303311559,0.0303311559,6.2722,4.7485,true,true,"[18, 18, 10, 18, 10, 18, 18]","[18, 18, 10, 18, 10, 18, 18]"
45,1378617300,7,0.092818,0.143143,0.112948,BALANCED,0.267769,0.0303383932,0.0303383932,5.5820,3.2604,true,true,"[18, 18, 12, 18, 12, 18, 18]","[19, 19, 15, 19, 15, 19, 19]"
46,1378617600,7,0.140280,0.187371,0.159116,BALANCED,0.295470,0.0304140422,0.0304140422,6.4752,6.7234,true,true,"[19, 19, 19, 19, 12, 19, 12]","[19, 19, 19, 19, 12, 19, 12]"
47,1378617900,7,0.132042,0.133743,0.132722,BALANCED,0.279633,0.0303451733,0.0303451733,6.0780,4.1274,true,true,"[19, 19, 12, 19, 12, 19, 19]","[16, 16, 10, 16, 10, 16, 16]"
48,1378618200,7,0.131987,0.127657,0.130255,BALANCED,0.278153,0.0303612354,0.0303612354,5.2874,3.1612,true,true,"[17, 17, 14, 17, 14, 17, 17]","[18, 18, 13, 18, 13, 18, 18]"
49,1378618500,7,0.131596,0.123200,0.128238,BALANCED,0.276943,0.0303506783,0.0303506783,5.1827,3.3944,true,true,"[17, 17, 11, 17, 11, 17, 17]","[18, 18, 15, 18, 15, 18, 18]"
50,1378618800,7,0.131703,0.119714,0.126907,BALANCED,0.276144,0.0303236966,0.0303236966,5.2143,3.1230,true,true,"[19, 19, 15, 19, 15, 19, 19]","[19, 19, 14, 19, 14, 19, 19]"
51,1378619100,7,0.115426,0.120814,0.117581,BALANCED,0.270549,0.0303957311,0.0304993650,6.6285,3.3142,true,true,"[18, 18, 12, 18, 12, 18, 18]","[15, 19, 19, 19, 19, 19, 15]"
52,1378619400,7,0.115441,0.129529,0.121076,BALANCED,0.272646,0.0303088369,0.0303088369,5.4363,4.2813,true,true,"[18, 18, 11, 18, 11, 18, 18]","[16, 16, 15, 16, 15, 16, 16]"
53,1378619700,7,0.115460,0.115557,0.115499,BALANCED,0.269299,0.0303555955,0.0303555955,5.4425,3.2804,true,true,"[18, 18, 14, 18, 14, 18, 18]","[18, 18, 14, 18, 14, 18, 18]"
54,1378620000,7,0.115481,0.116900,0.116049,BALANCED,0.269629,0.0303497126,0.0303497126,8.7355,3.2224,true,true,"[18, 18, 10, 18, 10, 18, 18]","[18, 18, 11, 18, 11, 18, 18]"
55,1378620300,7,0.115417,0.123886,0.118804,BALANCED,0.271283,0.0303558351,0.0303558351,5.3381,3.2116,true,true,"[16, 16, 13, 16, 13, 16, 16]","[19, 19, 12, 19, 12, 19, 19]"
56,1378620600,7,0.119083,0.124186,0.121124,BALANCED,0.272675,0.0303509481,0.0303509481,6.5967,3.0692,true,true,"[18, 18, 12, 18, 12, 18, 18]","[18, 18, 12, 18, 12, 18, 18]"
57,1378620900,7,0.125635,0.117671,0.122449,BALANCED,0.273470,0.0304055249,0.0304055249,5.0136,4.1701,true,true,"[19, 19, 12, 19, 12, 19, 19]","[18, 18, 11, 18, 11, 18, 18]"
58,1378621200,7,0.130798,0.124957,0.128462,BALANCED,0.277077,0.0304172635,0.0304172635,5.8973,3.1194,true,true,"[16, 16, 13, 16, 13, 16, 16]","[16, 16, 13, 16, 13, 16, 16]"
59,1378621500,7,0.131281,0.124929,0.128740,BALANCED,0.277244,0.0303490433,0.0303490433,5.2032,4.1952,true,true,"[19, 19, 13, 19, 13, 19, 19]","[19, 19, 13, 19, 13, 19, 19]"
60,1378621800,7,0.130264,0.124300,0.127878,BALANCED,0.276727,0.0303378451,0.0303378451,4.8285,2.7827,true,true,"[18, 18, 13, 18, 13, 18, 18]","[18, 18, 13, 18, 13, 18, 18]"
61,1378622100,7,0.128574,0.112671,0.122213,BALANCED,0.273328,0.0303242707,0.0303242707,5.1248,6.3334,true,true,"[19, 19, 14, 19, 14, 19, 19]","[19, 19, 12, 19, 12, 19, 19]"
62,1378622400,7,0.128491,0.111586,0.121729,BALANCED,0.273038,0.0303264536,0.0303264536,7.4076,6.7032,true,true,"[19, 19, 11, 19, 11, 19, 19]","[19, 19, 11, 19, 11, 19, 19]"
63,1378622700,7,0.129622,0.122286,0.126687,BALANCED,0.276012,0.0304068023,0.0304135057,6.9889,5.4828,true,true,"[18, 18, 10, 18, 10, 18, 18]","[19, 19, 19, 19, 14, 19, 14]"
64,1378623000,7,0.129836,0.133886,0.131456,BALANCED,0.278873,0.0303414717,0.0303414717,8.7742,5.0307,true,true,"[17, 17, 13, 17, 13, 17, 17]","[19, 19, 14, 19, 14, 19, 19]"
65,1378623300,7,0.130102,0.121514,0.126667,BALANCED,0.276000,0.0303591277,0.0303591277,8.8561,6.0423,true,true,"[18, 18, 15, 18, 15, 18, 18]","[18, 18, 15, 18, 15, 18, 18]"
66,1378623600,7,0.125476,0.118843,0.122823,BALANCED,0.273694,0.0303654773,0.0303654773,8.5663,6.0869,true,true,"[17, 17, 13, 17, 13, 17, 17]","[16, 16, 13, 16, 13, 16, 16]"
67,1378623900,7,0.125411,0.123243,0.124544,BALANCED,0.274726,0.0303450208,0.0303450208,8.3138,2.7435,true,true,"[16, 16, 15, 16, 15, 16, 16]","[18, 18, 14, 18, 14, 18, 18]"
68,1378624200,7,0.125103,0.129600,0.126902,BALANCED,0.276141,0.0303415488,0.0303415488,5.9516,2.6511,true,true,"[18, 18, 12, 18, 12, 18, 18]","[19, 19, 15, 19, 15, 19, 19]"
69,1378624500,7,0.126023,0.121814,0.124339,BALANCED,0.274604,0.0303542299,0.0303542299,5.7546,2.5381,true,true,"[16, 16, 15, 16, 15, 16, 16]","[16, 16, 15, 16, 15, 16, 16]"
70,1378624800,7,0.082927,0.101271,0.090265,EXPLOITATION,0.254159,0.0303201480,0.0303201480,5.1285,2.3209,true,true,"[17, 17, 10, 17, 10, 17, 17]","[19, 19, 15, 19, 15, 19, 19]"
71,1378625100,7,0.081702,0.098729,0.088513,EXPLOITATION,0.253108,0.0303497035,0.0303497035,6.2888,2.4510,true,true,"[19, 19, 14, 19, 14, 19, 19]","[18, 18, 13, 18, 13, 18, 18]"
72,1378625400,7,0.085867,0.099257,0.091223,EXPLOITATION,0.254734,0.0303924271,0.0303924271,4.4456,5.3217,true,true,"[17, 17, 15, 17, 15, 17, 17]","[17, 17, 15, 17, 15, 17, 17]"
73,1378625700,7,0.090462,0.095100,0.092317,EXPLOITATION,0.255390,0.0303823578,0.0303823578,5.2417,2.4000,true,true,"[19, 19, 12, 19, 12, 19, 19]","[19, 19, 12, 19, 12, 19, 19]"
74,1378626000,7,0.091351,0.094386,0.092565,EXPLOITATION,0.255539,0.0303456971,0.0303456971,6.5408,3.9580,true,true,"[18, 18, 14, 18, 14, 18, 18]","[19, 19, 10, 19, 10, 19, 19]"
75,1378626300,7,0.098141,0.106843,0.101622,BALANCED,0.260973,0.0303734299,0.0303734299,4.2918,2.3724,true,true,"[18, 18, 15, 18, 15, 18, 18]","[19, 19, 15, 19, 15, 19, 19]"
76,1378626600,7,0.097563,0.117214,0.105424,BALANCED,0.263254,0.0303303761,0.0303303761,4.4714,2.6976,true,true,"[19, 19, 13, 19, 13, 19, 19]","[17, 17, 15, 17, 15, 17, 17]"
77,1378626900,7,0.097411,0.102843,0.099583,EXPLOITATION,0.259750,0.0303465980,0.0303465980,5.5627,2.3892,true,true,"[18, 18, 15, 18, 15, 18, 18]","[18, 18, 15, 18, 15, 18, 18]"
78,1378627200,7,0.096989,0.102514,0.099199,EXPLOITATION,0.259519,0.0303804099,0.0303804099,4.5867,2.4841,true,true,"[18, 18, 14, 18, 14, 18, 18]","[19, 19, 13, 19, 13, 19, 19]"
79,1378627500,7,0.103937,0.115400,0.108522,BALANCED,0.265113,0.0304117098,0.0304117098,5.7922,2.5485,true,true,"[17, 17, 14, 17, 14, 17, 17]","[19, 19, 13, 19, 13, 19, 19]"
80,1378627800,7,0.101612,0.119500,0.108767,BALANCED,0.265260,0.0303444841,0.0303444841,5.0410,2.4259,true,true,"[18, 18, 12, 18, 12, 18, 18]","[19, 19, 15, 19, 15, 19, 19]"
81,1378628100,7,0.098566,0.104800,0.101059,BALANCED,0.260636,0.0303655783,0.0303679258,6.7929,2.3998,true,true,"[18, 18, 15, 18, 15, 18, 18]","[19, 19, 19, 19, 10, 19, 10]"
82,1378628400,7,0.094074,0.105786,0.098759,EXPLOITATION,0.259255,0.0303535707,0.0303535707,4.5562,2.6298,true,true,"[19, 19, 14, 19, 14, 19, 19]","[19, 19, 12, 19, 12, 19, 19]"
83,1378628700,7,0.094202,0.107043,0.099338,EXPLOITATION,0.259603,0.0303241744,0.0303241744,4.7323,4.6291,true,true,"[18, 18, 14, 18, 14, 18, 18]","[19, 19, 15, 19, 15, 19, 19]"
84,1378629000,7,0.094138,0.105243,0.098580,EXPLOITATION,0.259148,0.0303394958,0.0303394958,4.8937,2.4143,true,true,"[17, 17, 12, 17, 12, 17, 17]","[19, 19, 11, 19, 11, 19, 19]"
85,1378629300,7,0.094068,0.093386,0.093795,EXPLOITATION,0.256277,0.0303283368,0.0303283368,5.9980,2.5152,true,true,"[18, 18, 15, 18, 15, 18, 18]","[18, 18, 14, 18, 14, 18, 18]"
86,1378629600,7,0.094007,0.093300,0.093724,EXPLOITATION,0.256234,0.0303254353,0.0303254353,4.2573,2.4039,true,true,"[19, 19, 15, 19, 15, 19, 19]","[18, 18, 14, 18, 14, 18, 18]"
87,1378629900,7,0.092849,0.100543,0.095926,EXPLOITATION,0.257556,0.0303810255,0.0303810255,5.5107,2.5416,true,true,"[16, 16, 15, 16, 15, 16, 16]","[18, 18, 14, 18, 14, 18, 18]"
88,1378630200,7,0.092714,0.107443,0.098606,EXPLOITATION,0.259163,0.0303574341,0.0303574341,5.0589,4.1219,true,true,"[18, 18, 15, 18, 15, 18, 18]","[18, 18, 12, 18, 12, 18, 18]"
89,1378630500,7,0.092781,0.092971,0.092857,EXPLOITATION,0.255714,0.0303599909,0.0303599909,7.7205,2.5598,true,true,"[18, 18, 12, 18, 12, 18, 18]","[16, 16, 13, 16, 13, 16, 16]"
90,1378630800,7,0.092739,0.093900,0.093203,EXPLOITATION,0.255922,0.0303602193,0.0303602193,4.5809,3.4596,true,true,"[18, 18, 10, 18, 10, 18, 18]","[18, 18, 10, 18, 10, 18, 18]"
91,1378631100,7,0.092910,0.103300,0.097066,EXPLOITATION,0.258240,0.0303638257,0.0303638257,5.4344,3.4887,true,true,"[19, 19, 11, 19, 11, 19, 19]","[16, 16, 12, 16, 12, 16, 16]"
92,1378631400,7,0.092653,0.105157,0.097655,EXPLOITATION,0.258593,0.0303475316,0.0303475316,4.4784,3.6705,true,true,"[18, 18, 14, 18, 14, 18, 18]","[16, 16, 12, 16, 12, 16, 16]"
93,1378631700,7,0.090374,0.095743,0.092521,EXPLOITATION,0.255513,0.0303485454,0.0303485454,4.6513,3.0089,true,true,"[19, 19, 11, 19, 11, 19, 19]","[19, 19, 13, 19, 13, 19, 19]"
94,1378632000,7,0.089478,0.096943,0.092464,EXPLOITATION,0.255478,0.0303646750,0.0303646750,4.7139,4.9295,true,true,"[18, 18, 10, 18, 10, 18, 18]","[17, 17, 14, 17, 14, 17, 17]"
95,1378632300,7,0.090034,0.098657,0.093484,EXPLOITATION,0.256090,0.0303652377,0.0303652377,4.6745,2.2905,true,true,"[18, 18, 15, 18, 15, 18, 18]","[19, 19, 13, 19, 13, 19, 19]"
96,1378632600,7,0.084895,0.094300,0.088657,EXPLOITATION,0.253194,0.0303604494,0.0303604494,4.3396,3.5595,true,true,"[18, 18, 15, 18, 15, 18, 18]","[17, 17, 11, 17, 11, 17, 17]"
97,1378632900,7,0.076428,0.085629,0.080108,EXPLOITATION,0.248065,0.0303452830,0.0303452830,5.0102,2.1315,true,true,"[18, 18, 13, 18, 13, 18, 18]","[17, 17, 11, 17, 11, 17, 17]"
98,1378633200,7,0.073614,0.083271,0.077477,EXPLOITATION,0.246486,0.0303932141,0.0304914196,4.8263,3.6200,true,true,"[12, 12, 16, 16, 12, 16, 16]","[16, 16, 16, 16, 13, 16, 13]"
99,1378633500,7,0.065838,0.083214,0.072788,EXPLOITATION,0.243673,0.0303485840,0.0303485840,5.5253,2.1758,true,true,"[19, 19, 15, 19, 15, 19, 19]","[16, 16, 14, 16, 14, 16, 16]"
100,1378633800,7,0.066061,0.087743,0.074734,EXPLOITATION,0.244840,0.0303659563,0.0303659563,4.7084,3.0255,true,true,"[19, 19, 12, 19, 12, 19, 19]","[19, 19, 12, 19, 12, 19, 19]"
101,1378634100,7,0.066238,0.076514,0.070348,EXPLOITATION,0.242209,0.0304504919,0.0304539578,5.9283,2.3269,true,true,"[15, 16, 16, 16, 15, 15, 16]","[15, 17, 17, 17, 17, 17, 15]"
102,1378634400,7,0.075191,0.087529,0.080126,EXPLOITATION,0.248075,0.0305026870,0.0305026870,4.5363,3.4692,true,true,"[12, 19, 19, 19, 12, 12, 19]","[10, 19, 19, 19, 10, 10, 19]"
103,1378634700,7,0.072664,0.087229,0.078490,EXPLOITATION,0.247094,0.0304005696,0.0325997650,9.3247,4.7468,true,true,"[17, 17, 15, 17, 15, 17, 17]","[18, 16, 16, 18, 16, 16, 16]"
104,1378635000,7,0.077143,0.085843,0.080623,EXPLOITATION,0.248374,0.0304642397,0.0305547907,9.1981,2.7601,true,true,"[14, 17, 14, 17, 17, 17, 17]","[18, 18, 18, 18, 14, 18, 14]"
105,1378635300,7,0.076890,0.081871,0.078882,EXPLOITATION,0.247329,0.0304233229,0.0304265223,9.1476,2.4273,true,true,"[10, 18, 18, 18, 10, 10, 18]","[12, 12, 16, 16, 12, 16, 16]"
106,1378635600,7,0.077828,0.086371,0.081245,EXPLOITATION,0.248747,0.0304806400,0.0318265420,12.1559,6.1100,true,true,"[14, 19, 19, 19, 19, 19, 14]","[19, 19, 19, 10, 19, 19, 19]"
107,1378635900,7,0.077950,0.085814,0.081096,EXPLOITATION,0.248657,0.0304651507,0.0304626842,9.2266,5.1030,true,true,"[15, 18, 18, 18, 18, 18, 15]","[14, 19, 19, 19, 14, 14, 19]"
108,1378636200,7,0.077864,0.086243,0.081216,EXPLOITATION,0.248729,0.0304409893,0.0304439613,8.1140,7.4411,true,true,"[13, 18, 18, 18, 13, 13, 18]","[12, 19, 19, 19, 19, 19, 12]"
109,1378636500,7,0.076905,0.080186,0.078217,EXPLOITATION,0.246930,0.0304247741,0.0305127212,10.4587,6.6142,true,true,"[10, 18, 18, 18, 10, 10, 18]","[17, 17, 17, 17, 11, 17, 11]"
110,1378636800,7,0.076850,0.082300,0.079030,EXPLOITATION,0.247418,0.0303206636,0.0303206636,7.1196,2.5744,true,true,"[17, 17, 14, 17, 14, 17, 17]","[19, 19, 11, 19, 11, 19, 19]"
111,1378637100,7,0.076996,0.090843,0.082535,EXPLOITATION,0.249521,0.0303515573,0.0303588768,6.8506,2.3189,true,true,"[16, 16, 13, 16, 13, 16, 16]","[18, 18, 18, 18, 12, 18, 12]"
112,1378637400,7,0.078821,0.099929,0.087264,EXPLOITATION,0.252358,0.0303664494,0.0303664494,4.6647,3.9290,true,true,"[19, 19, 10, 19, 10, 19, 19]","[19, 19, 10, 19, 10, 19, 19]"
113,1378637700,7,0.078723,0.088771,0.082742,EXPLOITATION,0.249645,0.0303500293,0.0303500293,6.9866,3.6861,true,true,"[19, 19, 12, 19, 12, 19, 19]","[19, 19, 12, 19, 12, 19, 19]"
114,1378638000,7,0.078549,0.093886,0.084684,EXPLOITATION,0.250810,0.0304450136,0.0305271372,6.4557,2.3618,true,true,"[10, 17, 17, 17, 10, 10, 17]","[19, 19, 19, 19, 12, 19, 12]"
115,1378638300,7,0.078420,0.092029,0.083864,EXPLOITATION,0.250318,0.0303401126,0.0303442944,5.7401,2.4390,true,true,"[18, 18, 13, 18, 13, 18, 18]","[17, 17, 17, 17, 11, 17, 11]"
116,1378638600,7,0.078408,0.090357,0.083188,EXPLOITATION,0.249913,0.0304321652,0.0304321652,7.4204,2.7561,true,true,"[11, 18, 18, 18, 18, 18, 11]","[11, 18, 18, 18, 18, 18, 11]"
117,1378638900,7,0.087963,0.088357,0.088121,EXPLOITATION,0.252872,0.0303500096,0.0303500096,5.0926,2.4315,true,true,"[19, 19, 13, 19, 13, 19, 19]","[19, 19, 12, 19, 12, 19, 19]"
118,1378639200,7,0.094193,0.093229,0.093807,EXPLOITATION,0.256284,0.0303865220,0.0303865220,7.3656,2.9014,true,true,"[18, 18, 15, 18, 15, 18, 18]","[17, 17, 10, 17, 10, 17, 17]"
119,1378639500,7,0.094303,0.093814,0.094108,EXPLOITATION,0.256465,0.0303704346,0.0303704346,6.1720,4.6444,true,true,"[17, 17, 14, 17, 14, 17, 17]","[18, 18, 14, 18, 14, 18, 18]"
120,1378639800,7,0.093991,0.094743,0.094292,EXPLOITATION,0.256575,0.0303615810,0.0303615810,5.0904,2.7007,true,true,"[19, 19, 15, 19, 15, 19, 19]","[19, 19, 15, 19, 15, 19, 19]"
121,1378640100,7,0.093750,0.095543,0.094467,EXPLOITATION,0.256680,0.0303667499,0.0303667499,6.1717,2.9582,true,true,"[18, 18, 13, 18, 13, 18, 18]","[18, 18, 11, 18, 11, 18, 18]"
122,1378640400,7,0.092833,0.091471,0.092289,EXPLOITATION,0.255373,0.0303547121,0.0303547121,5.6804,2.7130,true,true,"[18, 18, 13, 18, 13, 18, 18]","[19, 19, 14, 19, 14, 19, 19]"
123,1378640700,7,0.097105,0.119214,0.105949,BALANCED,0.263569,0.0303647802,0.0303647802,7.4511,2.8182,true,true,"[18, 18, 15, 18, 15, 18, 18]","[17, 17, 12, 17, 12, 17, 17]"
124,1378641000,7,0.097087,0.115557,0.104475,BALANCED,0.262685,0.0304590471,0.0305422386,5.3259,3.3343,true,true,"[11, 11, 16, 16, 11, 16, 16]","[19, 13, 19, 19, 19, 13, 19]"
125,1378641300,7,0.108267,0.113414,0.110326,BALANCED,0.266196,0.0303659238,0.0303659238,7.9664,2.7504,true,true,"[19, 19, 14, 19, 14, 19, 19]","[19, 19, 14, 19, 14, 19, 19]"
126,1378641600,7,0.101221,0.104314,0.102458,BALANCED,0.261475,0.0304735102,0.0304769000,6.0223,4.8829,true,true,"[14, 17, 17, 17, 14, 14, 17]","[10, 16, 16, 16, 16, 16, 10]"
127,1378641900,7,0.092974,0.106029,0.098196,EXPLOITATION,0.258917,0.0303288937,0.0303288937,6.3888,2.6925,true,true,"[18, 18, 10, 18, 10, 18, 18]","[19, 19, 14, 19, 14, 19, 19]"
